name1	name2	f_total
14d2D	7p2P	0.001374239129235405
5g2G	10h2H	0.0012336913839477146
5g2G	10f2F	0.0026767480732066886
13d2D	7p2P	0.002938001437459027
10d2D	5f2F	0.0013181952852799053
5d2D	10p2P	0.9183397903468066
4d2D	5f2F	1.3145885610550894
3d2D	5p2P	0.002413525019670421
14s2S	7p2P	0.6502398962306309
12d2D	7p2P	0.007353621431618893
7s2S	10p2P	0.0019487303631011115
5d2D	8f2F	0.020030214710467717
9g2G	5f2F	0.0006138003398486144
5g2G	9h2H	0.0006178938787524163
5g2G	9f2F	0.000934675834055918
13s2S	7p2P	0.001489912390305232
11d2D	7p2P	0.05409660915698979
9d2D	5f2F	0.018677613865744565
12s2S	7p2P	0.0024275083465050812
10d2D	7p2P	0.002090777093268139
8s2S	6p2P	0.000878520200333126
5d2D	9p2P	0.003150087926779713
6d2D	14f2F	0.005204663512712786
6s2S	5p2P	0.0012295657350102007
6d2D	6p2P	0.0007550860063029639
8g2G	5f2F	0.008578371828878006
5g2G	8h2H	0.00819547897126306
5g2G	8f2F	0.015184652822074755
7s2S	9p2P	0.0005298418412435897
6d2D	13f2F	0.030446667600981813
16d2D	6f2F	0.0032821674322346256
6d2D	14p2P	2.444863420682539e-05
5d2D	7f2F	0.023145712183007684
8d2D	5f2F	0.004899601194142102
15d2D	6f2F	0.007819171375507571
6d2D	12f2F	0.004134501133124831
11s2S	7p2P	0.0006062500749019021
8s2S	14p2P	0.006782735268129612
9d2D	7p2P	0.0008513992941501815
5g2G	4f2F	0.012449393236199695
6g2G	14f2F	0.0073406721377646
14d2D	6f2F	0.035793085072247634
6d2D	13p2P	1.089114681899665
6d2D	11f2F	1.5513654847388472
6g2G	13f2F	2.5630185647975794
8s2S	13p2P	0.020651032234957675
13d2D	6f2F	0.01859537182612848
16d2D	8p2P	0.0002153101512068792
6g2G	12f2F	0.008672827965933664
6d2D	12p2P	0.03737143427148472
15d2D	8p2P	0.016270191219914333
12d2D	6f2F	0.12615275319936928
6d2D	10f2F	0.21754626864668655
8s2S	12p2P	0.06080097103024379
14d2D	8p2P	0.06341863562063926
7g2G	5f2F	0.014663601812580536
5g2G	7h2H	0.005334047486244039
5g2G	7f2F	0.00011834400190950659
6g2G	11f2F	0.016245540917496394
11d2D	6f2F	0.04605830740753122
8d2D	7p2P	0.08974927166950715
13d2D	8p2P	0.03892882438772005
5d2D	4f2F	0.020098365128351673
5d2D	8p2P	0.03230701546804496
6d2D	11p2P	0.025041557629306627
14s2S	8p2P	0.035331390661093344
7d2D	5f2F	0.5167049158671301
12d2D	8p2P	1.6708112390062853e-05
8s2S	11p2P	1.1060042800381107
6d2D	9f2F	1.2674007239143568
7s2S	8p2P	3.1242929723395885
6g2G	10h2H	0.018784296188417964
6g2G	10f2F	0.3673493975095064
10d2D	6f2F	0.07521487228292358
7d2D	14f2F	0.04570018860873415
13s2S	8p2P	0.12416052612285755
11d2D	8p2P	0.05178045165950431
16d2D	7f2F	0.07540125231340121
5d2D	6f2F	0.0019878694684154997
7d2D	13f2F	0.02692222165527509
15d2D	7f2F	0.21191452830221028
6d2D	10p2P	0.0004264340803251435
9g2G	6f2F	0.09686362809474751
6g2G	9h2H	1.1678732765069513
9i2I	6h2H	0.18423235472103067
9g2G	6h2H	0.0046960300025002755
6g2G	9f2F	1.1009357839361886
7d2D	14p2P	0.04951670663115111
7g2G	14f2F	4.090071149519101
14d2D	7f2F	0.2806164730210932
7d2D	12f2F	0.057626138610212305
8s2S	10p2P	0.005980696333802796
12s2S	8p2P	0.20389419756525168
9s2S	14p2P	0.03451276497434226
16d2D	9p2P	2.5052407660608607
10d2D	8p2P	1.231602461919045
9d2D	6f2F	0.35007470524497286
4d2D	6p2P	4.392904398414568
16d2D	4p2P	0.000608126679452554
16d2D	4p2P	0.0004086275501684709
15d2D	4p2P	0.9846507939011311
15d2D	4p2P	1.0555540059389867
14d2D	4p2P	0.0003388996175518058
14d2D	4p2P	0.00020260754467508817
13d2D	4p2P	0.009114089743787437
13d2D	4p2P	0.01039335598683484
12d2D	4p2P	0.007232261129644982
11d2D	4p2P	0.012371796801965951
10d2D	4p2P	0.013681061509923523
9d2D	4p2P	0.000585666202419168
8d2D	4p2P	0.02990582329019915
7d2D	4p2P	0.07001209570161497
8s2S	4p2P	0.02684600169914376
6d2D	4p2P	0.0016180286117637617
6d2D	4p2P	0.06158157443447256
7s2S	4p2P	0.14858994493021774
5d2D	4p2P	0.053274177219250055
5d2D	4p2P	0.004806242384633317
3d2D	14f2F	0.4554341490884798
3d2D	13f2F	0.03923592706549335
3d2D	14p2P	0.0013961555591306067
3d2D	13p2P	0.0019227986560835931
3d2D	11f2F	0.05200106251678088
3d2D	12p2P	0.09820307397566255
3d2D	10f2F	0.0027728974598295367
3d2D	11p2P	0.03436439057418186
3d2D	9f2F	0.03950450434317933
3d2D	10p2P	0.004038007092078205
3d2D	8f2F	0.1339410030998804
3d2D	9p2P	0.004318993741121875
3d2D	7f2F	0.13220994998617192
5s2S	8p2P	0.04194879375551842
3d2D	8p2P	0.008298343328823742
3d2D	6f2F	0.2447050359740996
16d2D	5p2P	0.018882515756862745
16d2D	5p2P	0.02174893609054908
15d2D	5p2P	0.552107625531485
15d2D	5p2P	0.7744077610719398
14d2D	5p2P	0.24979964222283782
14d2D	5p2P	0.0036134810050935063
13d2D	5p2P	0.024431663284810303
3d2D	7p2P	0.024339304343569325
12d2D	5p2P	0.0732847043385896
11d2D	5p2P	0.008597462140766508
12s2S	5p2P	0.08200223031967373
10d2D	5p2P	0.08142784566512534
3d2D	5f2F	1.2887821261304668
11s2S	5p2P	0.39016008514445527
9d2D	5p2P	0.08127803856024554
8d2D	5p2P	0.05524328206607283
9s2S	5p2P	2.344883449183742
7d2D	5p2P	0.7373018694680264
3d2D	6p2P	0.01465397610781286
4d2D	14f2F	0.17533895944845182
6d2D	5p2P	0.020004620517704557
4d2D	13f2F	0.017032525581941814
4d2D	14p2P	0.7027113381232517
4d2D	12f2F	0.031227730090793195
4d2D	13p2P	0.0076127467677343475
4d2D	11f2F	0.1013443321622401
3d2D	4f2F	0.06960660856486864
4d2D	12p2P	0.07051758437977883
4d2D	12p2P	0.07566149198621246
4d2D	10f2F	0.09578101861836673
16d2D	4f2F	0.018075382500614384
16d2D	4f2F	0.023197068607854084
15d2D	4f2F	0.1114212947593608
4d2D	11p2P	0.1923225998944183
14d2D	4f2F	1.5178574378359535
4d2D	9f2F	0.04158230224988321
13d2D	4f2F	0.03868017033656387
13d2D	4f2F	0.07294780315032338
12d2D	4f2F	0.04412449595164003
4d2D	10p2P	0.8216639892172284
4d2D	10p2P	1.4384871586036017
11d2D	4f2F	0.40572426587727783
4d2D	8f2F	1.5724352759379647
10d2D	4f2F	0.5256793269292078
16d2D	6p2P	0.039474055864139525
4d2D	9p2P	0.02762014983620593
9g2G	4f2F	0.1184105246698771
15d2D	6p2P	0.18778944403678124
5d2D	5p2P	0.0808759759330249
9d2D	4f2F	0.043247987064098284
14d2D	6p2P	0.03491001944963031
4d2D	7f2F	0.7176613575124244
13d2D	6p2P	0.32207630718320135
13d2D	6p2P	0.03961986339145406
14s2S	6p2P	0.294486404805271
12d2D	6p2P	0.3007675534391224
8g2G	4f2F	0.05786588833804798
13s2S	6p2P	0.014300651594945818
8d2D	4f2F	1.8369480725260172
11d2D	6p2P	1.4000981532908812
12s2S	6p2P	0.2718408848908325
10d2D	6p2P	2.2654928089208552
4d2D	8p2P	0.12725765570769088
4d2D	8p2P	0.1170114535182946
7g2G	4f2F	0.040463902527900185
11s2S	6p2P	0.2245645272941226
9d2D	6p2P	1.7690142372885973
4d2D	6f2F	0.0704585676071385
7d2D	4f2F	0.6276697716273055
5d2D	14f2F	0.023167994268776172
10s2S	6p2P	0.18454871965752231
5d2D	13f2F	0.24775326584326343
5d2D	14p2P	1.5124433770997834
5d2D	12f2F	1.4624766887901395
5d2D	13p2P	0.1776975549541908
16d2D	5f2F	2.5465367569441772
5d2D	11f2F	1.2174820075707515
15d2D	5f2F	1.811209678229055
6g2G	4f2F	0.3103003446345204
5g2G	14f2F	0.22763791809086648
14d2D	5f2F	0.1946905899988666
5d2D	12p2P	3.921339630889026
5g2G	13f2F	0.3080769514964898
13d2D	5f2F	0.001973930890200782
5d2D	10f2F	0.0017898640117834028
5g2G	12f2F	0.004503283038747576
12d2D	5f2F	0.00617235455938797
7d2D	6p2P	0.0075906528664083555
6d2D	4f2F	0.007608748296934609
5d2D	11p2P	0.018464625066229964
16d2D	7p2P	0.018715057360993447
5g2G	11f2F	0.02249916964741743
5d2D	9f2F	0.028214755139993157
11d2D	5f2F	0.0007152377486486253
15d2D	7p2P	0.0013912450162395073
15d2D	7p2P	0.002048451883392397
14d2D	7p2P	0.0020111226200558727
5g2G	10h2H	0.0027886810059668055
5g2G	10f2F	0.003517789681493345
13d2D	7p2P	0.0030809105727197987
10d2D	5f2F	0.0033454931534005355
5d2D	10p2P	1.1035014605641391
4d2D	5f2F	1.5329375827314136
3d2D	5p2P	0.003476486075928326
14s2S	7p2P	0.43865634280577076
12d2D	7p2P	0.010451468622828966
5d2D	8f2F	0.030033697985774092
9g2G	5f2F	0.000600475062375015
5g2G	9h2H	0.0013385490292990585
5g2G	9f2F	0.0019751588125689634
13s2S	7p2P	0.03663089888666826
11d2D	7p2P	0.07547918353286867
9d2D	5f2F	0.017106538346349634
12s2S	7p2P	0.0029242353466740465
10d2D	7p2P	0.0028743149626705346
5d2D	9p2P	0.005055128936271924
6d2D	14f2F	0.008729599627891448
8g2G	5f2F	0.009712860190319817
5g2G	8h2H	0.007779550585504965
5g2G	8f2F	0.024687037896104998
6d2D	13f2F	0.03139979565014048
16d2D	6f2F	0.004438343953763188
6d2D	14p2P	3.54120610852337e-05
5d2D	7f2F	0.04574794012204222
8d2D	5f2F	0.006625535041966428
15d2D	6f2F	0.010573553212760472
6d2D	12f2F	0.006080538837220926
9d2D	7p2P	0.0011452048414130277
5g2G	4f2F	0.02064946176588624
6g2G	14f2F	0.01200227842130814
14d2D	6f2F	0.04277788130060227
6d2D	13p2P	1.1015460990184407
6d2D	11f2F	1.5665063693737307
6g2G	13f2F	2.3603264305066065
13d2D	6f2F	0.04186344943238549
16d2D	8p2P	0.0002894514161434716
6g2G	12f2F	0.014223808198516825
12d2D	6f2F	0.1512097117741579
6d2D	10f2F	0.2282899037708983
14d2D	8p2P	0.06658135013263856
7g2G	5f2F	0.016461295266878284
5g2G	7h2H	0.02622009095910766
5g2G	7f2F	0.00938959499071563
6g2G	11f2F	0.02194878226465883
11d2D	6f2F	0.09285923423874602
5d2D	4f2F	0.03445186026829392
5d2D	8p2P	0.05736576377182769
6d2D	11p2P	0.02082945930176046
7d2D	5f2F	0.6200551587248632
12d2D	8p2P	2.2397427538554126e-05
6d2D	9f2F	1.4334172226390476
6g2G	10h2H	0.028175634697547206
6g2G	10f2F	0.3265648195495266
10d2D	6f2F	0.4995786689954418
7d2D	14f2F	0.12967542796309123
13s2S	8p2P	0.08833155864603592
11d2D	8p2P	0.05511517639798284
16d2D	7f2F	0.1070415604944798
5d2D	6f2F	0.004649521332004094
7d2D	13f2F	0.03006382427478959
15d2D	7f2F	0.36325590023191745
6d2D	10p2P	0.0006153777107562723
9g2G	6f2F	0.1785009430445467
6g2G	9h2H	1.9558159852815067
9i2I	6h2H	0.2220947336900992
9i2I	6h2H	0.19793770248041911
9g2G	6h2H	0.006475294012201991
6g2G	9f2F	1.693611976008777
7d2D	14p2P	0.07139056848172658
7g2G	14f2F	5.772038192706182
14d2D	7f2F	0.37947113105473884
7d2D	12f2F	0.08524153302509366
16d2D	9p2P	2.546551222291317
10d2D	8p2P	2.033391272865109
9d2D	6f2F	0.6000848701644182
4d2D	6p2P	6.34565825627359
14s2S	4p2P	0.0008845028734230886
12d2D	4p2P	0.005801694378018861
13s2S	4p2P	0.01224666485573652
11d2D	4p2P	0.0007584704834100257
12s2S	4p2P	0.0005015304240172576
10d2D	4p2P	0.000459533468775352
11s2S	4p2P	0.05203653292880179
9d2D	4p2P	0.0022437308388790463
10s2S	4p2P	0.031039660698768012
8d2D	4p2P	0.024545843326635522
9s2S	4p2P	0.0008233098199886647
7d2D	4p2P	0.0014077145054038013
6s2S	4p2P	0.005640236094455497
4d2D	4p2P	0.18668563194665272
14s2S	5p2P	0.00789795374088353
12d2D	5p2P	0.03994885017051782
13s2S	5p2P	0.05538063744277125
11d2D	5p2P	0.0063548472489899695
3d2D	4p2P	0.01924408575302366
10s2S	5p2P	0.006326629991649858
3d2D	4p2P	0.11841005234562203
4d2D	7p2P	0.0021954083071077457
6d2D	6p2P	0.004373595278049948
6d2D	12p2P	0.06251618126550385
15d2D	8p2P	0.0012798347849920207
