   509.9200 -2.181 19.00   32648.351  0.5 9s 2S        13042.896  1.5 4p 2P                            
   511.2214 -2.720 19.00   32598.444  1.5 7d 2D        13042.896  1.5 4p 2P                            
   511.2254 -1.765 19.00   32598.288  2.5 7d 2D        13042.896  1.5 4p 2P                            
   532.3279 -2.234 19.00   31765.377  0.5 8s 2S        12985.186  0.5 4p 2P                            
   533.9687 -1.934 19.00   31765.377  0.5 8s 2S        13042.896  1.5 4p 2P                            
   534.2969 -1.920 19.00   31696.166  1.5 6d 2D        12985.186  0.5 4p 2P                            
   535.9500 -2.620 19.00   31696.166  1.5 6d 2D        13042.896  1.5 4p 2P                            
   535.9576 -1.666 19.00   31695.901  2.5 6d 2D        13042.896  1.5 4p 2P                            
   578.2400 -1.907 19.00   30274.249  0.5 7s 2S        12985.186  0.5 4p 2P                            
   580.1766 -1.607 19.00   30274.249  0.5 7s 2S        13042.896  1.5 4p 2P                            
   581.2152 -1.966 19.00   30185.748  1.5 5d 2D        12985.186  0.5 4p 2P                            
   583.1718 -2.667 19.00   30185.748  1.5 5d 2D        13042.896  1.5 4p 2P                            
   583.1890 -1.712 19.00   30185.244  2.5 5d 2D        13042.896  1.5 4p 2P                            
   691.1082 -1.418 19.00   27450.710  0.5 6s 2S        12985.186  0.5 4p 2P                            
   693.6286 -4.712 19.00   27398.147  1.5 4d 2D        12985.186  0.5 4p 2P                            
   693.8764 -1.118 19.00   27450.710  0.5 6s 2S        13042.896  1.5 4p 2P                            
   696.4171 -5.407 19.00   27398.147  1.5 4d 2D        13042.896  1.5 4p 2P                            
   696.4690 -4.469 19.00   27397.077  2.5 4d 2D        13042.896  1.5 4p 2P                            
   754.1412 -3.153 19.00   21026.551  0.5 5s 2S        34283.018  1.5 14p 2P                           
   754.1617 -3.454 19.00   21026.551  0.5 5s 2S        34282.657  0.5 14p 2P                           
   761.8730 -3.508 19.00   21026.551  0.5 5s 2S        34148.486  1.5 13p 2P                           
   761.8996 -3.809 19.00   21026.551  0.5 5s 2S        34148.028  0.5 13p 2P                           
   766.4899  0.149 19.00       0.000  0.5 4s 2S        13042.896  1.5 4p 2P                            
   769.8964 -0.154 19.00       0.000  0.5 4s 2S        12985.186  0.5 4p 2P                            
   772.2111 -3.439 19.00   21026.551  0.5 5s 2S        33972.815  1.5 12p 2P                           
   772.2474 -3.740 19.00   21026.551  0.5 5s 2S        33972.206  0.5 12p 2P                           
   774.1224 -2.481 19.00   21534.680  2.5 3d 2D        34448.980  3.5 14f 2F                           
   774.1224 -3.782 19.00   21534.680  2.5 3d 2D        34448.980  2.5 14f 2F                           
